# 종관기상관측(ASOS) 지점 메타데이터.
# ASOS 일자료 조회(getWthrDataList)의 필수 파라미터 stnIds 목록이자,
# 명소를 최근접 관측지점에 매핑하기 위한 좌표 원천이다.
# 출처: 기상청 관측 지점 정보 조회 (https://minwon.kma.go.kr/main/obvStn.do)
# 지점이 신설/폐지되면 위 페이지에서 목록을 다시 받아 이 파일을 교체한다.
# altitude 는 노장 해발고도(m) 이며 현재 판정에는 쓰지 않는다(명소 고도 원천이 없다).
stnId,name,latitude,longitude,altitude
90,속초,38.25085,128.56473,17.53
93,북춘천,37.94738,127.75443,95.78
95,철원,38.14787,127.3042,155.48
98,동두천,37.90188,127.0607,115.62
99,파주,37.88589,126.76648,30.59
100,대관령,37.67713,128.71834,772.43
101,춘천,37.90262,127.7357,75.82
102,백령도,37.97396,124.71237,36.0
104,북강릉,37.80456,128.85535,75.24
105,강릉,37.75147,128.89099,27.12
106,동해,37.50709,129.12433,40.46
108,서울,37.57142,126.9658,85.67
112,인천,37.47772,126.6249,68.99
114,원주,37.33749,127.94659,150.11
115,울릉도,37.48129,130.89864,221.14
119,수원,37.25746,126.983,39.81
121,영월,37.18126,128.45743,240.54
127,충주,36.97045,127.9525,114.85
129,서산,36.77658,126.4939,25.25
130,울진,36.99176,129.41278,48.98
131,청주,36.63924,127.44066,58.7
133,대전,36.37199,127.3721,67.79
135,추풍령,36.22025,127.99458,244.98
136,안동,36.57293,128.70734,141.26
137,상주,36.40837,128.15741,96.58
138,포항,36.03201,129.38002,3.94
140,군산,36.0053,126.76135,27.85
143,대구,35.87797,128.65295,54.27
146,전주,35.84092,127.11718,60.44
152,울산,35.58237,129.33469,81.14
155,창원,35.17019,128.57281,34.97
156,광주,35.17294,126.89156,70.28
159,부산,35.10468,129.03203,69.56
162,통영,34.84541,128.43561,31.24
165,목포,34.81732,126.38151,44.7
168,여수,34.73929,127.74063,65.93
169,흑산도,34.68719,125.45105,75.12
170,완도,34.3959,126.70182,35.37
172,고창,35.34824,126.599,52.42
174,순천,35.0204,127.3694,165.0
177,홍성,36.65759,126.68772,27.74
181,서청주,36.63994,127.38458,33.55
184,제주,33.51411,126.52969,20.79
185,고산,33.29382,126.16283,71.39
188,성산,33.38677,126.8802,20.34
189,서귀포,33.24616,126.5653,51.86
192,진주,35.16378,128.04004,29.35
201,강화,37.70739,126.44634,47.84
202,양평,37.48863,127.49446,47.26
203,이천,37.26399,127.48421,80.09
211,인제,38.05991,128.1681,202.0
212,홍천,37.6836,127.88043,140.2
216,태백,37.17038,128.98929,714.45
217,정선군,37.38071,128.67313,312.0
221,제천,37.15928,128.19434,264.62
226,보은,36.48761,127.73415,171.31
232,천안,36.76217,127.29282,84.78
235,보령,36.32724,126.55744,9.98
236,부여,36.27242,126.92079,13.42
238,금산,36.10563,127.48175,170.17
239,세종,36.48522,127.24438,89.5
243,부안,35.72961,126.71657,12.2
244,임실,35.61203,127.28556,247.04
245,정읍,35.56333,126.83904,68.7
247,남원,35.4213,127.39652,133.49
248,장수,35.65696,127.52031,406.87
252,영광군,35.28366,126.47784,37.2
253,김해시,35.22981,128.89075,54.59
254,순창군,35.37131,127.1286,129.38
255,북창원,35.22655,128.6726,50.95
257,양산시,35.30737,129.0201,6.29
258,보성군,34.76335,127.21226,1.41
259,강진군,34.64457,126.78408,16.19
260,장흥,34.68886,126.91951,43.99
261,해남,34.55375,126.56907,16.36
262,고흥,34.61826,127.27572,51.91
263,의령군,35.32258,128.28812,14.1
264,함양군,35.51138,127.74538,152.07
266,광양시,34.9434,127.6914,88.21
268,진도군,34.47296,126.25846,9.82
271,봉화,36.94361,128.91449,324.67
272,영주,36.87183,128.51688,211.32
273,문경,36.62727,128.14879,173.01
276,청송군,36.4351,129.04005,208.65
277,영덕,36.53337,129.40926,40.71
278,의성,36.3561,128.68864,81.44
279,구미,36.13055,128.32056,49.17
281,영천,35.97742,128.9514,96.12
283,경주시,35.81747,129.20123,40.13
284,거창,35.66739,127.9099,228.45
285,합천,35.56505,128.16994,26.72
288,밀양,35.49147,128.74413,8.31
289,산청,35.413,127.8791,138.22
294,거제,34.88818,128.60458,44.83
295,남해,34.81662,127.92641,45.71
296,북부산,35.21778,128.96024,3.0
